property_name,address,latitude,longitude,price_range,bedroom,bathroom,room_area,amenities
NEMA Chicago Apartments,"1210 S Indiana Ave, Chicago, IL, 60605",41.866998,-87.62338,"$1,777–$19,900",0 - 4 bed,1 - 4 ba,420 - 2703 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
Germain House Apartments,"729 N Sangamon St, Chicago, IL, 60642",41.895896,-87.651175,"$2,395–$3,592",1 - 2 bed,1 - 2 ba,560 - 1065 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
Porte Apartments,"855 W Madison St, Chicago, IL, 60607",41.881742,-87.649106,"$2,150–$6,700",0 - 3 bed,1 - 2 ba,546 - 1930 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry, Utilities Included"
596 West Hawthorne Apartments,"596 W Hawthorne Pl, Chicago, IL, 60657",41.94419,-87.645133,"$1,073–$1,212",0 - 0 bed,1 - 1 ba,275 - 330 sq ft,Pet Friendly
Three Old Town Park Apartments,"228 W Hill St, Chicago, IL, 60610",41.902363,-87.635832,"$2,105–$8,500",0 - 2 bed,1 - 2 ba,505 - 2056 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
535 W Cornelia Apartments,"535 W Cornelia Ave, Chicago, IL, 60657",41.946231,-87.643545,"$970–$6,500",0 - 4 bed,1 - 5 ba,268 - 2923 sq ft,"Pet Friendly, Utilities Included"
The Lofts at River East Apartments,"445 E Illinois St, Chicago, IL, 60611",41.891033,-87.618113,"$1,950–$3,115",0 - 1 bed,1 - 1 ba,605 - 1003 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
One Chicago Apartments,"14 W Superior St, Chicago, IL, 60654",41.89618,-87.628818,"$2,284–$11,520",0 - 3 bed,1 - 2 ba,525 - 2211 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
The Residences at Addison & Clark Apartments,"1025 W Addison St, Chicago, IL, 60613",41.947094,-87.655403,"$1,969–$4,510",0 - 2 bed,1 - 2 ba,501 - 1409 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Melrose by the Lake Apartments,"434 W Melrose St, Chicago, IL, 60657",41.941487,-87.64104,"$4,997–$6,397",2 - 2 bed,2 - 2 ba,1559 - 1559 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
1133 North Dearborn Apartments,"1133 N Dearborn St, Chicago, IL, 60610",41.90269,-87.629536,"$1,682–$3,416",0 - 2 bed,1 - 2 ba,450 - 1050 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
Aviation Loft Apartments,"1338 S Michigan Ave, Chicago, IL, 60605",41.865023,-87.624528,"$1,795–$2,000",1 - 1 bed,1 - 1 ba,800 - 1000 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
422 W Melrose Apartments,"422-424 W Melrose St, Chicago, IL, 60657",41.941502,-87.640749,"$955–$4,495",0 - 4 bed,1 - 3 ba,282 - 2203 sq ft,"Pet Friendly, Utilities Included"
100 West Chestnut Apartments,"100 W Chestnut St, Chicago, IL, 60610",41.898046,-87.631664,"$1,839–$3,161",1 - 2 bed,1 - 2 ba,700 - 1050 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
Two Old Town Park Apartments,"202 W Hill St, Chicago, IL, 60610",41.902469,-87.635025,"$2,326–$21,596",0 - 3 bed,1 - 3 ba,510 - 2420 sq ft,"Air Conditioning, In-unit Laundry"
21 E Chestnut Apartments,"21 E Chestnut St, Chicago, IL, 60611",41.898132,-87.62718,"$1,750–$2,950",0 - 1 bed,1 - 1 ba,450 - 850 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
Millennium on LaSalle Apartments,"29 S Lasalle St, Chicago, IL, 60603",41.88116,-87.631633,"$1,850–$4,168",0 - 2 bed,1 - 2 ba,530 - 1290 sq ft,"Pet Friendly, Air Conditioning, In-unit Laundry"
750 North Rush Apartments,"750 N Rush St, Chicago, IL, 60611",41.896337,-87.625488,"$2,036–$3,456",1 - 2 bed,1 - 2 ba,640 - 1158 sq ft,"Pet Friendly, Parking Available, In-unit Laundry, Utilities Included"
Echelon Chicago Apartments,"353 N Desplaines St, Chicago, IL, 60661",41.888349,-87.6442,"$1,886–$3,441",0 - 2 bed,1 - 2 ba,572 - 1109 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Astoria Tower Chicago Apartments,"8 E 9th St, Chicago, IL, 60605",41.870523,-87.627295,"$2,212–$3,065",1 - 2 bed,2 - 2 ba,840 - 1240 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
1111 North Dearborn Apartments,"1111 N Dearborn St, Chicago, IL, 60610",41.902398,-87.629887,"$1,613–$2,845",0 - 2 bed,1 - 1 ba,525 - 950 sq ft,"Pet Friendly, Parking Available, Air Conditioning"
1225 Old Town Apartments,"1225 N Wells St, Chicago, IL, 60610",41.904617,-87.634493,"$1,823–$4,975",0 - 3 bed,1 - 2 ba,513 - 1499 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry"
Arrive South Loop Apartments,"1935 S Wabash Ave, Chicago, IL, 60616",41.855584,-87.625262,"$1,770–$4,695",1 - 2 bed,1 - 2 ba,561 - 1012 sq ft,"Pet Friendly, Parking Available, In-unit Laundry"
The Patricians Apartments,"401 W Fullerton Pkwy, Chicago, IL, 60614",41.925278,-87.639358,"$1,395–$1,910",0 - 1 bed,1 - 1 ba,373 - 749 sq ft,"Pet Friendly, Air Conditioning"
Four50 Belmont Apartments,"450 W Belmont Ave, Chicago, IL, 60657",41.940411,-87.641498,"$1,905–$9,600",0 - 3 bed,1 - 3 ba,464 - 2290 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
Lake & Wells Apartments,"210 N Wells St, Chicago, IL, 60606",41.886089,-87.633878,"$1,825–$3,535",0 - 2 bed,1 - 2 ba,584 - 1326 sq ft,"Pet Friendly, Parking Available, Air Conditioning, In-unit Laundry, Utilities Included"
Solstice on the Park Apartments,"1616 E 56th St, Chicago, IL, 60637",41.793733,-87.586153,"$2,195–$6,025",1 - 3 bed,1 - 2 ba,718 - 1872 sq ft,"Air Conditioning, In-unit Laundry"
